rater_id,target_id
584,208
125,584
155,125
172,155
186,172
227,186
302,227
329,302
333,329
452,333
511,452
524,511
538,524
255,538
327,255
387,327
4,387
328,4
653,328
175,653
189,175
234,189
250,234
336,250
379,336
408,379
412,408
425,412
439,425
472,439
499,472
557,499
588,557
602,588
629,602
659,629
663,659
680,663
507,680
208,507
584,507
125,208
155,584
172,125
186,155
227,172
302,186
329,227
333,302
452,329
511,333
524,452
538,511
255,524
327,538
387,255
4,327
328,387
653,4
175,328
189,653
234,175
250,189
336,234
379,250
408,336
412,379
425,408
439,412
472,425
499,439
557,472
588,499
602,557
629,588
659,602
663,629
680,659
507,663
208,680
